method,fold,cohort,source,case_id,class_id,class_name,label_path,pred_path,is_evaluable,evaluability_reason,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,1,front,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,True,evaluable,19436243,4962314,4976577,4936000,40577,26314,14433352,25.395854538348797,0.2087697709891773,0.1353862472289526,74.25998944343307,0.99326977225125,0.9866295308052884,0.9918464036625978,0.994697231976856,0.997196545595878,0.002803454404122,0.0081770319250253,5.0,False,,,
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,2,middle,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,True,evaluable,19436243,5104963,5101848,5008208,93640,96755,14237640,25.76736666649002,0.4817803523036834,0.497807112207848,73.25304586899844,0.9813462794598626,0.9633757376741404,0.9816458663605816,0.9810468753642289,0.9934660407165306,0.0065339592834694,0.0183429341211679,5.0,False,,,
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,3,end,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,True,evaluable,19436243,4932786,4951092,4864237,86855,68549,14416602,25.026631947336732,0.4468713423679669,0.3526864734094959,74.1738102368858,0.9842770216305786,0.9690408138749363,0.9824574053562324,0.9861033906599638,0.9940114277582236,0.0059885722417765,0.0176076967458146,5.0,False,,,
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,4,left_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,True,evaluable,19436243,64089,61795,60568,1227,3521,19370927,0.3116240108749412,0.0063129484437913,0.0181156409703253,99.66394739971092,0.96228273648756,0.9273072447792272,0.9801440245974592,0.9450607748599604,0.9999366616639532,6.333833604667814e-05,0.0191452511351401,2.183658428292825,False,,,
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,5,right_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,True,evaluable,19436243,61689,59480,57437,2043,4252,19372511,0.2955149305346717,0.010511290685139,0.0218766558948661,99.67209712288532,0.9480477679934636,0.9012270131174293,0.9656523201075992,0.9310736111786542,0.9998945524113744,0.0001054475886257,0.0331177357389486,5.094474881320571,False,,,
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,6,testis,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,True,evaluable,19436243,264418,258707,248790,9917,15628,19161908,1.2800313311579814,0.0510232353032425,0.0804064859654203,98.58853894757335,0.951168458781362,0.9068839192957516,0.9616670596466272,0.9408966106694704,0.9994827305173086,0.0005172694826913,0.0375050110053022,7.451010886037038,False,,,
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,7,thoracic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,True,evaluable,19436243,967864,957464,941487,15977,26377,18452402,4.843976276690922,0.0822021004779575,0.1357103839461155,94.938111238885,0.9780016703647378,0.956950360881484,0.9833132107316828,0.9727472041526496,0.9991348997115556,0.0008651002884443,0.0165074845226188,5.187229379236328,False,,,
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,8,abdominal_and_pelvic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,True,evaluable,19436243,3029366,3049523,2987697,61826,41669,16345051,15.371782499323558,0.3180964551636857,0.2143881407533338,84.09573290475943,0.9829746850123436,0.9665193879901346,0.9797260096087158,0.9862449766716864,0.996231702108817,0.003768297891183,0.0204088908372246,5.0,False,,,
nnunet_v1_seed20260520,0,v1_comparison,TB,133140_114338,9,head,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/133140_114338.nii.gz,False,absent_or_out_of_fov_for_fp,19436243,0,602,0,602,0,19435641,0.0,0.0030973064084452,0.0,99.99690269359157,,,,,,,,,False,602.0,3.0973064084452944e-05,1.0
nnunet_v1_seed20260520,0,v1_comparison,TB,136032_122089,1,front,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_v1__seed20260520/136032_122089.nii.gz,True,evaluable,22477930,5598574,5765604,5547621,217983,50953,16661373,24.68030196730749,0.9697645646196068,0.2266801257945015,74.1232533422784,0.9763347599800004,0.9537637127943558,0.9621925127011844,0.9908989324781632,0.9870858224685825,0.0129141775314176,0.0389354503486066,19.67548306367756,False,,,
